block_index,campaign,n,family,cell_id,stochastic,replicas,case_start,case_stop,parameters_json,condition_number,profile,node_type,cluster_parameter,column_scaling,theta,epsilon,decay,scale_range,alpha,kappa
0,canonical,8,random_conditioned,random_conditioned:3d4ea8f7b0b7ac02,True,20000,0,20000,"{""condition_number"":100.0,""profile"":""geometric""}",100.0,geometric,,,,,,,,,
1,canonical,8,random_conditioned,random_conditioned:f13d30e42b69e288,True,20000,20000,40000,"{""condition_number"":100.0,""profile"":""one_small""}",100.0,one_small,,,,,,,,,
2,canonical,8,random_conditioned,random_conditioned:5e2483f030292e83,True,20000,40000,60000,"{""condition_number"":100.0,""profile"":""clustered""}",100.0,clustered,,,,,,,,,
3,canonical,8,random_conditioned,random_conditioned:59554964dd17fd28,True,20000,60000,80000,"{""condition_number"":10000.0,""profile"":""geometric""}",10000.0,geometric,,,,,,,,,
4,canonical,8,random_conditioned,random_conditioned:9249e93b9b37b741,True,20000,80000,100000,"{""condition_number"":10000.0,""profile"":""one_small""}",10000.0,one_small,,,,,,,,,
5,canonical,8,random_conditioned,random_conditioned:24db10624cd06023,True,20000,100000,120000,"{""condition_number"":10000.0,""profile"":""clustered""}",10000.0,clustered,,,,,,,,,
6,canonical,8,random_conditioned,random_conditioned:ede4f08ad80ec7c0,True,20000,120000,140000,"{""condition_number"":1000000.0,""profile"":""geometric""}",1000000.0,geometric,,,,,,,,,
7,canonical,8,random_conditioned,random_conditioned:58959af1bd395489,True,20000,140000,160000,"{""condition_number"":1000000.0,""profile"":""one_small""}",1000000.0,one_small,,,,,,,,,
8,canonical,8,random_conditioned,random_conditioned:60b649f84d12d8bd,True,20000,160000,180000,"{""condition_number"":1000000.0,""profile"":""clustered""}",1000000.0,clustered,,,,,,,,,
9,canonical,8,random_conditioned,random_conditioned:d85a46ecb6e00d73,True,20000,180000,200000,"{""condition_number"":100000000.0,""profile"":""geometric""}",100000000.0,geometric,,,,,,,,,
10,canonical,8,random_conditioned,random_conditioned:be39cf2c9bb5dcd1,True,20000,200000,220000,"{""condition_number"":100000000.0,""profile"":""one_small""}",100000000.0,one_small,,,,,,,,,
11,canonical,8,random_conditioned,random_conditioned:c09b81d86321af6f,True,20000,220000,240000,"{""condition_number"":100000000.0,""profile"":""clustered""}",100000000.0,clustered,,,,,,,,,
12,canonical,8,random_conditioned,random_conditioned:37f6a61bc4687e9e,True,20000,240000,260000,"{""condition_number"":10000000000.0,""profile"":""geometric""}",10000000000.0,geometric,,,,,,,,,
13,canonical,8,random_conditioned,random_conditioned:33289cf8a89ff087,True,20000,260000,280000,"{""condition_number"":10000000000.0,""profile"":""one_small""}",10000000000.0,one_small,,,,,,,,,
14,canonical,8,random_conditioned,random_conditioned:d512272586bc7c53,True,20000,280000,300000,"{""condition_number"":10000000000.0,""profile"":""clustered""}",10000000000.0,clustered,,,,,,,,,
15,canonical,8,random_conditioned,random_conditioned:36337c2841740aff,True,20000,300000,320000,"{""condition_number"":1000000000000.0,""profile"":""geometric""}",1000000000000.0,geometric,,,,,,,,,
16,canonical,8,random_conditioned,random_conditioned:982d888343062026,True,20000,320000,340000,"{""condition_number"":1000000000000.0,""profile"":""one_small""}",1000000000000.0,one_small,,,,,,,,,
17,canonical,8,random_conditioned,random_conditioned:3868b8f4f35e5d1d,True,20000,340000,360000,"{""condition_number"":1000000000000.0,""profile"":""clustered""}",1000000000000.0,clustered,,,,,,,,,
18,canonical,8,random_conditioned,random_conditioned:e026603158c7af35,True,20000,360000,380000,"{""condition_number"":100000000000000.0,""profile"":""geometric""}",100000000000000.0,geometric,,,,,,,,,
19,canonical,8,random_conditioned,random_conditioned:5b19efd6ef2b5c0b,True,20000,380000,400000,"{""condition_number"":100000000000000.0,""profile"":""one_small""}",100000000000000.0,one_small,,,,,,,,,
20,canonical,8,random_conditioned,random_conditioned:20591473a1bf5735,True,20000,400000,420000,"{""condition_number"":100000000000000.0,""profile"":""clustered""}",100000000000000.0,clustered,,,,,,,,,
21,canonical,8,random_conditioned,random_conditioned:6ed2736ecab0398d,True,20000,420000,440000,"{""condition_number"":1.0,""profile"":""orthogonal""}",1.0,orthogonal,,,,,,,,,
22,canonical,8,hilbert,hilbert:b9c548331ca110df,False,1,440000,440001,{},,,,,,,,,,,
23,canonical,8,vandermonde,vandermonde:c75e7bcca1c1877c,False,1,440001,440002,"{""cluster_parameter"":10.0,""column_scaling"":false,""node_type"":""equispaced""}",,,equispaced,10.0,False,,,,,,
24,canonical,8,vandermonde,vandermonde:ceedbcebccced4fc,False,1,440002,440003,"{""cluster_parameter"":10.0,""column_scaling"":true,""node_type"":""equispaced""}",,,equispaced,10.0,True,,,,,,
25,canonical,8,vandermonde,vandermonde:e7c5154704c3d4c9,False,1,440003,440004,"{""cluster_parameter"":10.0,""column_scaling"":false,""node_type"":""chebyshev""}",,,chebyshev,10.0,False,,,,,,
26,canonical,8,vandermonde,vandermonde:df362d800fc64531,False,1,440004,440005,"{""cluster_parameter"":10.0,""column_scaling"":true,""node_type"":""chebyshev""}",,,chebyshev,10.0,True,,,,,,
27,canonical,8,vandermonde,vandermonde:1a694a5cc930f5b5,False,1,440005,440006,"{""cluster_parameter"":10.0,""column_scaling"":false,""node_type"":""clustered_zero""}",,,clustered_zero,10.0,False,,,,,,
28,canonical,8,vandermonde,vandermonde:777568ed0dbc806c,False,1,440006,440007,"{""cluster_parameter"":10.0,""column_scaling"":true,""node_type"":""clustered_zero""}",,,clustered_zero,10.0,True,,,,,,
29,canonical,8,vandermonde,vandermonde:b85fbb786a5eb62d,False,1,440007,440008,"{""cluster_parameter"":10.0,""column_scaling"":false,""node_type"":""near_one""}",,,near_one,10.0,False,,,,,,
30,canonical,8,vandermonde,vandermonde:bc1c5a7c363c1cb2,False,1,440008,440009,"{""cluster_parameter"":10.0,""column_scaling"":true,""node_type"":""near_one""}",,,near_one,10.0,True,,,,,,
31,canonical,8,vandermonde,vandermonde:d4c1dcf1fe7912e5,True,20000,440009,460009,"{""cluster_parameter"":10.0,""column_scaling"":false,""node_type"":""random""}",,,random,10.0,False,,,,,,
32,canonical,8,vandermonde,vandermonde:0040369e0b8a027c,True,20000,460009,480009,"{""cluster_parameter"":10.0,""column_scaling"":true,""node_type"":""random""}",,,random,10.0,True,,,,,,
33,canonical,8,kahan_type,kahan_type:4290efc4c47e83af,False,1,480009,480010,"{""column_scaling"":false,""theta"":0.1}",,,,,False,0.1,,,,,
34,canonical,8,kahan_type,kahan_type:e71b6f9fd30d0d35,False,1,480010,480011,"{""column_scaling"":true,""theta"":0.1}",,,,,True,0.1,,,,,
35,canonical,8,kahan_type,kahan_type:55976e314ebada33,False,1,480011,480012,"{""column_scaling"":false,""theta"":0.01}",,,,,False,0.01,,,,,
36,canonical,8,kahan_type,kahan_type:3d5fca4b09918941,False,1,480012,480013,"{""column_scaling"":true,""theta"":0.01}",,,,,True,0.01,,,,,
37,canonical,8,kahan_type,kahan_type:ea9d2f45216bcaa7,False,1,480013,480014,"{""column_scaling"":false,""theta"":0.001}",,,,,False,0.001,,,,,
38,canonical,8,kahan_type,kahan_type:033d150a3a538c2e,False,1,480014,480015,"{""column_scaling"":true,""theta"":0.001}",,,,,True,0.001,,,,,
39,canonical,8,kahan_type,kahan_type:bf657253a4babc02,False,1,480015,480016,"{""column_scaling"":false,""theta"":0.0001}",,,,,False,0.0001,,,,,
40,canonical,8,kahan_type,kahan_type:7de370b15bdacd56,False,1,480016,480017,"{""column_scaling"":true,""theta"":0.0001}",,,,,True,0.0001,,,,,
41,canonical,8,kahan_type,kahan_type:7411493e1f8f3a01,False,1,480017,480018,"{""column_scaling"":false,""theta"":1e-06}",,,,,False,1e-06,,,,,
42,canonical,8,kahan_type,kahan_type:7f88c9d87a09d37c,False,1,480018,480019,"{""column_scaling"":true,""theta"":1e-06}",,,,,True,1e-06,,,,,
43,canonical,8,kahan_type,kahan_type:3fcb70bbfebc9826,False,1,480019,480020,"{""column_scaling"":false,""theta"":1e-08}",,,,,False,1e-08,,,,,
44,canonical,8,kahan_type,kahan_type:cb92209d4d47c312,False,1,480020,480021,"{""column_scaling"":true,""theta"":1e-08}",,,,,True,1e-08,,,,,
45,canonical,8,kahan_type,kahan_type:cad9cb441519fc5b,False,1,480021,480022,"{""column_scaling"":false,""theta"":1e-10}",,,,,False,1e-10,,,,,
46,canonical,8,kahan_type,kahan_type:ea85790adba5c3b2,False,1,480022,480023,"{""column_scaling"":true,""theta"":1e-10}",,,,,True,1e-10,,,,,
47,canonical,8,kahan_type,kahan_type:ecb64b54443ddd5c,False,1,480023,480024,"{""column_scaling"":false,""theta"":1e-12}",,,,,False,1e-12,,,,,
48,canonical,8,kahan_type,kahan_type:8457c94dc014b009,False,1,480024,480025,"{""column_scaling"":true,""theta"":1e-12}",,,,,True,1e-12,,,,,
49,canonical,8,adversarial_rotation,adversarial_rotation:b2c76300f74387b0,False,1,480025,480026,"{""epsilon"":0.1}",,,,,,,0.1,,,,
50,canonical,8,adversarial_rotation,adversarial_rotation:37c4e5a022b50612,False,1,480026,480027,"{""epsilon"":0.01}",,,,,,,0.01,,,,
51,canonical,8,adversarial_rotation,adversarial_rotation:fbc8efe02a7874dc,False,1,480027,480028,"{""epsilon"":0.0001}",,,,,,,0.0001,,,,
52,canonical,8,adversarial_rotation,adversarial_rotation:f7cff71dbc36bc98,False,1,480028,480029,"{""epsilon"":1e-06}",,,,,,,1e-06,,,,
53,canonical,8,adversarial_rotation,adversarial_rotation:ace807421641f23f,False,1,480029,480030,"{""epsilon"":1e-08}",,,,,,,1e-08,,,,
54,canonical,8,adversarial_rotation,adversarial_rotation:6f8f58222266e918,False,1,480030,480031,"{""epsilon"":1e-10}",,,,,,,1e-10,,,,
55,canonical,8,adversarial_rotation,adversarial_rotation:45392a8c926cd6a7,False,1,480031,480032,"{""epsilon"":1e-12}",,,,,,,1e-12,,,,
56,canonical,8,adversarial_rotation,adversarial_rotation:2cc9ff6f36ee55eb,False,1,480032,480033,"{""epsilon"":1e-14}",,,,,,,1e-14,,,,
57,canonical,8,repeated_bad_pivots,repeated_bad_pivots:ebddf4bf1bcd1f4b,False,1,480033,480034,"{""decay"":1.0,""epsilon"":0.01}",,,,,,,0.01,1.0,,,
58,canonical,8,repeated_bad_pivots,repeated_bad_pivots:22f815a7b3f93bb6,False,1,480034,480035,"{""decay"":0.3,""epsilon"":0.01}",,,,,,,0.01,0.3,,,
59,canonical,8,repeated_bad_pivots,repeated_bad_pivots:cf46139e6aa27490,False,1,480035,480036,"{""decay"":0.1,""epsilon"":0.01}",,,,,,,0.01,0.1,,,
60,canonical,8,repeated_bad_pivots,repeated_bad_pivots:221878ec2b94bb83,False,1,480036,480037,"{""decay"":1.0,""epsilon"":1e-06}",,,,,,,1e-06,1.0,,,
61,canonical,8,repeated_bad_pivots,repeated_bad_pivots:142920ff1c832f8b,False,1,480037,480038,"{""decay"":0.3,""epsilon"":1e-06}",,,,,,,1e-06,0.3,,,
