block_index,cell_id,family,n,alpha,dtype_name,numerator_method,denominator_method,common_usable,positive_ratio_pairs,D_ratio_q50,D_ratio_q90,D_ratio_q95,R_ratio_q50,R_ratio_q90,R_ratio_q95,AE_ratio_q50,AE_ratio_q90,AE_ratio_q95,pearson_logD_logR,spearman_logD_logR,median_abs_log2_disagreement,q95_abs_log2_disagreement,fraction_disagreement_factor_gt_2
78,row_diagonal_dominant_random:93e6f52ebdb3ac55,row_diagonal_dominant_random,8,0.5,float32,R1_C1,R0_C1,2000,2000,1.1234550289648566,1.900020537739371,2.184190238069387,1.013374550909064,1.800098669840281,2.0542909454902176,0.9926727082470861,1.877018057003124,2.2463588778904247,0.2399916217133748,0.23732659733164935,0.4965850638721875,1.4450829952591207,0.1745
78,row_diagonal_dominant_random:93e6f52ebdb3ac55,row_diagonal_dominant_random,8,0.5,float32,R2_C2,R0_C1,2000,2000,1.136966385740895,1.9219172388358237,2.2375163672907212,1.0132529568797386,1.7604188181775764,2.036342375237188,0.9885496253795247,1.7857471891536425,2.1096040982887305,0.2801152705404822,0.26817721904430475,0.4953883681903819,1.4345308123373264,0.166
78,row_diagonal_dominant_random:93e6f52ebdb3ac55,row_diagonal_dominant_random,8,0.5,float32,R0_C0,R0_C1,2000,2000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,0.0,0.0,0.0
78,row_diagonal_dominant_random:93e6f52ebdb3ac55,row_diagonal_dominant_random,8,0.5,float64,R1_C1,R0_C1,2000,2000,1.0545047939410763,1.733966234249074,1.9893181053709184,1.0144093252761177,1.7910861660735702,2.0747276234132714,1.0045927564422512,1.888181173334293,2.2300917373620743,0.28109448089402206,0.27063700665925167,0.4716676290591302,1.3755228981100651,0.155
78,row_diagonal_dominant_random:93e6f52ebdb3ac55,row_diagonal_dominant_random,8,0.5,float64,R2_C2,R0_C1,2000,2000,1.0624202707723132,1.7875306625828828,2.0856591375753752,1.0157071823280366,1.7530293848087075,2.065459558140596,1.0111219827289997,1.822147476121729,2.219844854801979,0.2619428006690533,0.2509398852349713,0.48498881852931935,1.4252056735334708,0.168
78,row_diagonal_dominant_random:93e6f52ebdb3ac55,row_diagonal_dominant_random,8,0.5,float64,R0_C0,R0_C1,2000,2000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,0.0,0.0,0.0
79,row_diagonal_dominant_random:03e59f7215597618,row_diagonal_dominant_random,8,0.3,float32,R1_C1,R0_C1,2000,2000,1.1591073298196872,1.9675338461599885,2.308009375350146,1.044112733148479,1.7415488801493024,1.9673603234598738,0.9888353337055855,1.7544822842695766,2.0176943686230877,0.387671826058941,0.37330649882662476,0.4400563949602858,1.272569252343267,0.12
79,row_diagonal_dominant_random:03e59f7215597618,row_diagonal_dominant_random,8,0.3,float32,R2_C2,R0_C1,2000,2000,1.1526646580054458,1.9721560069140498,2.3576761919968536,1.0493351133544129,1.725939426519396,1.9250010553745889,0.9746514674839307,1.7252533240753023,2.023606129504382,0.3918752068955372,0.3714066988516747,0.43648509336627817,1.233514370447401,0.111
79,row_diagonal_dominant_random:03e59f7215597618,row_diagonal_dominant_random,8,0.3,float32,R0_C0,R0_C1,2000,2000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,0.0,0.0,0.0
79,row_diagonal_dominant_random:03e59f7215597618,row_diagonal_dominant_random,8,0.3,float64,R1_C1,R0_C1,2000,2000,1.0720761219248662,1.7727567307078038,2.0656702953024997,1.0176474401191815,1.6592916019258823,1.904037802211323,0.9991451485061407,1.7484608907517571,2.047062951117707,0.3956158536094218,0.3873724973431243,0.39318764204094336,1.1984436723451095,0.0945
79,row_diagonal_dominant_random:03e59f7215597618,row_diagonal_dominant_random,8,0.3,float64,R2_C2,R0_C1,2000,2000,1.0876457968775164,1.809612620868,2.0947247078548363,1.0222064094784369,1.7145237917394727,1.9590839852410238,1.0069402449582807,1.7216751348208787,2.002910251164965,0.38411069539463255,0.36595206748801684,0.41270484813665614,1.225391478863809,0.1045
79,row_diagonal_dominant_random:03e59f7215597618,row_diagonal_dominant_random,8,0.3,float64,R0_C0,R0_C1,2000,2000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,0.0,0.0,0.0
80,row_diagonal_dominant_random:c6616c01f005a03d,row_diagonal_dominant_random,8,0.2,float32,R1_C1,R0_C1,2000,2000,1.1549824813519924,1.9556881144984086,2.2590182875791354,1.081652006521383,1.6978704065676016,1.900044914354664,0.979373856863045,1.692149366455013,1.9364419881514119,0.49178388727019423,0.47598835849708954,0.35726869073283696,1.0749084832762312,0.0685
