dtype_name,castillo_method,methodwise_N,methodwise_blocks,strict_common6_N,added_vs_strict6_N,fraction_castillo_lt_lapack_svd,fraction_castillo_eq_lapack_svd,fraction_ci025,fraction_ci975,ratio_positive_lapack_N,ratio_positive_lapack_blocks,median_castillo_over_lapack_svd,median_ci025,median_ci975,q05_ratio,q95_ratio,bootstrap_unit,bootstrap_repetitions,bootstrap_seed_fraction,bootstrap_seed_median
float32,R0_C0,2486,830,2474,12,0.33226065969428803,0.0012067578439259854,0.30289225135800746,0.3614833295647423,2486,830,2.6762820210818656,2.151707006758139,3.1637645509435,0.3492536095989786,892452425591.5764,block_index,2000,20260908,20261908
float32,R0_C1,2496,832,2474,22,0.671875,0.030448717948717948,0.6438301282051282,0.6995392628205127,2496,832,0.7100416490828696,0.6815491422303315,0.7403262949677626,0.1488700615740759,5404.489630983155,block_index,2000,20260909,20261909
float32,R0_C2,2493,832,2474,19,0.6706778981147212,0.0304853590052146,0.6418980048994672,0.6983956435203524,2493,832,0.7374312254241022,0.7063239512505805,0.7768110961507549,0.146407814405351,5544.6411520214,block_index,2000,20260910,20261910
float32,R1_C1,2490,832,2474,16,0.6759036144578313,0.018473895582329317,0.6496784608295764,0.7027688370811768,2490,832,0.7335053429953519,0.6785872713210401,0.7910379372693178,0.12271802360168609,2.702586426340779,block_index,2000,20260911,20261911
float32,R2_C2,2484,831,2474,10,0.6541867954911433,0.01610305958132045,0.6260052120755423,0.6816901408450704,2484,831,0.7373132046154507,0.6768560143384158,0.8163049884681619,0.12185145038653906,3.5564054489251427,block_index,2000,20260912,20261912
float64,R0_C0,2496,832,2496,0,0.3541666666666667,0.001201923076923077,0.32411858974358976,0.3838241185897436,2496,832,2.1204703494989934,1.4543538735117603,4.091517322326164,0.3541229527596118,3661057195414.046,block_index,2000,20261008,20262008
float64,R0_C1,2496,832,2496,0,0.7147435897435898,0.021634615384615384,0.686698717948718,0.7403846153846154,2496,832,0.7038882458838258,0.6744388219644872,0.7337293189792237,0.14989316485967513,47402.43279870695,block_index,2000,20261009,20262009
float64,R0_C2,2496,832,2496,0,0.7099358974358975,0.021634615384615384,0.6838842147435897,0.734385016025641,2496,832,0.7294516758384739,0.6954614429998486,0.7637826872793256,0.1605576632753098,47402.43279870695,block_index,2000,20261010,20262010
float64,R1_C1,2496,832,2496,0,0.7540064102564102,0.02283653846153846,0.7307692307692307,0.7764423076923077,2496,832,0.6769872615440946,0.6372048209759384,0.7121876379611038,0.11632432646746539,1.3612539908311831,block_index,2000,20261011,20262011
float64,R2_C2,2496,832,2496,0,0.735176282051282,0.020032051282051284,0.7103365384615384,0.7592147435897436,2496,832,0.6779196643393104,0.6335641003913511,0.7213650093960008,0.11941218673276134,1.6538156220652396,block_index,2000,20261012,20262012
