block_index,case_index,cell_id,dtype_name,failure_class,family,inverse_tableau_norm_reliable,matrix_id,method,n,norm_A_2_est,norm_A_inf,norm_V_2_est,norm_V_inf,parameters_json,r2_raw,r2_state,replica,right_inverse_defect_2_est,right_inverse_defect_inf,rinf_raw,rinf_state,task_id
1683,16771270,random_conditioned:ede4f08ad80ec7c0,float64,completed,random_conditioned,True,b548db29cad8c998c71ea438,R2_C2,724,0.9936636507023738,5.262685153029885,962658.9869646286,5715120.752606013,"{""condition_number"":1000000.0,""profile"":""geometric""}",,blank,10425,,4.713352125262915e-09,,blank,58
1683,16778296,random_conditioned:ede4f08ad80ec7c0,float64,completed,random_conditioned,True,33e2082bc864468303d8d1f0,R2_C2,724,0.9211373627079722,5.395347468032643,958257.2894025785,5316094.6655885335,"{""condition_number"":1000000.0,""profile"":""geometric""}",,blank,17451,,,,blank,91
1683,16775332,random_conditioned:ede4f08ad80ec7c0,float64,completed,random_conditioned,True,d0bdb3208341174522bf67f2,R2_C2,724,0.9676317954549208,5.821865233948849,948648.0972077436,5352321.502408966,"{""condition_number"":1000000.0,""profile"":""geometric""}",,blank,14487,,,,blank,124
1358,13325941,scaled_adversarial:e73afbc25af72981,float64,completed,scaled_adversarial,False,48a4709d035a754318b6ed58,R2_C2,256,2895955297546458.5,2895955297546991.5,18329039834090.12,18708534186599.074,"{""epsilon"":0.01,""scale_range"":8.0}",,blank,5249,,,,blank,280
1358,13331938,scaled_adversarial:e73afbc25af72981,float64,completed,scaled_adversarial,False,d669f0a826f89d283e4ce603,R2_C2,256,1456592640725459.8,1456839054244772.2,399726580600117.5,427644862742547.06,"{""epsilon"":0.01,""scale_range"":8.0}",,blank,11246,,,,blank,283
1360,13362912,scaled_adversarial:1c7b58eee2ed258c,float64,completed,scaled_adversarial,True,fd3fb045158d68f6a4fcbe67,R2_C2,256,6485.824232016834,6485.827586782221,3160.45939538212,3506.5653420918266,"{""epsilon"":1e-06,""scale_range"":2.0}",,blank,2220,,,,blank,288
1357,13315991,scaled_adversarial:bfa61de27cbbe219,float64,completed,scaled_adversarial,True,68cd4655a890baf98c81bf7f,R2_C2,256,49973009.99015706,49972933.94340415,20310015.539822377,20392146.867660586,"{""epsilon"":0.01,""scale_range"":4.0}",,blank,15299,3.0411189975975303,3.0412362262236282e-12,,blank,320
1357,13317016,scaled_adversarial:bfa61de27cbbe219,float64,completed,scaled_adversarial,,1173a3fe68ff61d084db1511,R2_C2,256,17072868.57669774,17072875.966299683,,14192543.44863825,"{""epsilon"":0.01,""scale_range"":4.0}",,blank,16324,,,,blank,346
1359,13342091,scaled_adversarial:17741976c2dfbd54,float64,completed,scaled_adversarial,False,a422fa62ac782d48579848a9,R2_C2,256,3.6751852407209764e+23,3.684973014827423e+23,3.800202996552118e+22,3.800256204457303e+22,"{""epsilon"":0.01,""scale_range"":12.0}",,blank,1399,,,,blank,446
1359,13343146,scaled_adversarial:17741976c2dfbd54,float64,completed,scaled_adversarial,False,2963a944b56d031ec7d43561,R2_C2,256,3.789465305433721e+22,3.789465305433722e+22,3.3427315063226545e+20,3.450696651956319e+20,"{""epsilon"":0.01,""scale_range"":12.0}",,blank,2454,371.884775,371.93618235807264,,blank,502
1358,13330161,scaled_adversarial:e73afbc25af72981,float64,completed,scaled_adversarial,False,8826e904fe5f4b7c656ec61c,R2_C2,256,74646550882461.7,74646552216134.61,291302384154459.94,291302444820056.8,"{""epsilon"":0.01,""scale_range"":8.0}",,blank,9469,,,,blank,504
1358,13335188,scaled_adversarial:e73afbc25af72981,float64,completed,scaled_adversarial,False,1c56efca4115d004ced5064c,R2_C2,256,4008194353875541.5,4008194353865487.0,276329494887351.1,325257002223544.75,"{""epsilon"":0.01,""scale_range"":8.0}",,blank,14496,,,,blank,536
1357,13318220,scaled_adversarial:bfa61de27cbbe219,float64,completed,scaled_adversarial,,3604e187408d1151f2d81237,R2_C2,256,,1154266,,,"{""epsilon"":0.01,""scale_range"":4.0}",,blank,17528,,,,blank,551
1358,13331209,scaled_adversarial:e73afbc25af72981,float64,completed,scaled_adversarial,False,d7a76bd8233fceaa64d29ce7,R2_C2,256,80051071381425.98,80146788866698.61,2653551783101740.5,2653570048460333.0,"{""epsilon"":0.01,""scale_range"":8.0}",,blank,10517,,,,blank,553
1358,13328239,scaled_adversarial:e73afbc25af72981,float64,completed,scaled_adversarial,False,28dd76a0186748b6824eb2db,R2_C2,256,1442031068527197.0,1444413576897656.5,641853099367998.0,641853099369710.4,"{""epsilon"":0.01,""scale_range"":8.0}",,blank,7547,,,,blank,580
1358,13336241,scaled_adversarial:e73afbc25af72981,float64,completed,scaled_adversarial,,3a9a9ed4bd0e1136a5c3eb59,R2_C2,256,85943209,859432097853493.8,,,"{""epsilon"":0.01,""scale_range"":8.0}",,blank,15549,,,,blank,590
1358,13328270,scaled_adversarial:e73afbc25af72981,float64,completed,scaled_adversarial,False,6cff64fb56c05f8eb2e3b765,R2_C2,256,417365374711261.5,418231378043862.7,2158505691339265.0,2195070020438589.5,"{""epsilon"":0.01,""scale_range"":8.0}",,blank,7578,,,,blank,611
1683,16763877,random_conditioned:ede4f08ad80ec7c0,float64,completed,random_conditioned,,4feeca446d148de39a3b92bc,R2_C2,724,0.9316030281676013,5.247818027333157,,5281688.467961733,"{""condition_number"":1000000.0,""profile"":""geometric""}",,blank,3032,,,,blank,657
1357,13317332,scaled_adversarial:bfa61de27cbbe219,float64,completed,scaled_adversarial,,73026ede9380b5c65e322327,R2_C2,256,,,,,"{""epsilon"":0.01,""scale_range"":4.0}",,blank,16640,,,,blank,662
1358,13321337,scaled_adversarial:e73afbc25af72981,float64,completed,scaled_adversarial,False,159d9d87f97f3eb40815ea18,R2_C2,256,1842907744759524.0,1842907744759698.8,5047034092149095.0,5047034352140545.0,"{""epsilon"":0.01,""scale_range"":8.0}",,blank,645,,,,blank,671
1357,13318371,scaled_adversarial:bfa61de27cbbe219,float64,completed,scaled_adversarial,True,7fbce94b5434521706b3ad4e,R2_C2,256,54237301.29606802,54237792.5863331,12409858.51218473,12409844.638165187,"{""epsilon"":0.01,""scale_range"":4.0}",,blank,17679,,,,blank,702
1358,13321372,scaled_adversarial:e73afbc25af72981,float64,completed,scaled_adversarial,False,e34ca997059190d6f49a23ef,R2_C2,256,1175209561525807.8,1175209562590936.8,12891584582539.51,12976221593771.752,"{""epsilon"":0.01,""scale_range"":8.0}",,blank,680,,,,blank,706
1357,13316382,scaled_adversarial:bfa61de27cbbe219,float64,completed,scaled_adversarial,True,93382b00bb05493c91c8ac66,R2_C2,256,61837080.85908914,61840859.40032356,43959657.51501663,44600242.66225001,"{""epsilon"":0.01,""scale_range"":4.0}",,blank,15690,,,,blank,711
1357,13316421,scaled_adversarial:bfa61de27cbbe219,float64,completed,scaled_adversarial,,c4cf4e2bcf651c2dc4a473c8,R2_C2,256,,,,,"{""epsilon"":0.01,""scale_range"":4.0}",,blank,15729,,,,blank,750
