block_index,cell_id,family,n,dtype_name,method,common_n,r2u_q50,r2u_q95
0,random_conditioned:3d4ea8f7b0b7ac02,random_conditioned,8,float32,R0_C0,2000,1.5841987572204514,17.810534068271757
0,random_conditioned:3d4ea8f7b0b7ac02,random_conditioned,8,float32,R0_C1,2000,0.39437260295280785,0.7447166230103116
0,random_conditioned:3d4ea8f7b0b7ac02,random_conditioned,8,float32,R0_C2,2000,0.3817030676510441,0.6796384745350974
0,random_conditioned:3d4ea8f7b0b7ac02,random_conditioned,8,float32,R1_C1,2000,0.37287904620884793,0.6802890385999903
0,random_conditioned:3d4ea8f7b0b7ac02,random_conditioned,8,float32,R2_C2,2000,0.3409912407823243,0.5952757777575285
0,random_conditioned:3d4ea8f7b0b7ac02,random_conditioned,8,float32,LAPACK_xGETRF_xGETRI,2000,0.5773902745245133,1.172165212548382
0,random_conditioned:3d4ea8f7b0b7ac02,random_conditioned,8,float64,R0_C0,2000,1.612020923231312,17.788433888378304
0,random_conditioned:3d4ea8f7b0b7ac02,random_conditioned,8,float64,R0_C1,2000,0.44013657918528903,0.7618836995237921
0,random_conditioned:3d4ea8f7b0b7ac02,random_conditioned,8,float64,R0_C2,2000,0.4263696623695178,0.7418501723337488
0,random_conditioned:3d4ea8f7b0b7ac02,random_conditioned,8,float64,R1_C1,2000,0.4142877751151166,0.7291711048690249
0,random_conditioned:3d4ea8f7b0b7ac02,random_conditioned,8,float64,R2_C2,2000,0.39172066911471337,0.6620094180149219
0,random_conditioned:3d4ea8f7b0b7ac02,random_conditioned,8,float64,LAPACK_xGETRF_xGETRI,2000,0.5890405625538853,1.198123517411191
1,random_conditioned:f13d30e42b69e288,random_conditioned,8,float32,R0_C0,2000,3.1672269139546403,34.315313769806245
1,random_conditioned:f13d30e42b69e288,random_conditioned,8,float32,R0_C1,2000,0.9245692903556053,1.5255969093274917
1,random_conditioned:f13d30e42b69e288,random_conditioned,8,float32,R0_C2,2000,0.9191374968343334,1.5614942647432601
1,random_conditioned:f13d30e42b69e288,random_conditioned,8,float32,R1_C1,2000,0.8969783588828706,1.4811163199414235
1,random_conditioned:f13d30e42b69e288,random_conditioned,8,float32,R2_C2,2000,0.9096927616861987,1.527769055302184
1,random_conditioned:f13d30e42b69e288,random_conditioned,8,float32,LAPACK_xGETRF_xGETRI,2000,1.0893523523045188,1.8496417829557483
1,random_conditioned:f13d30e42b69e288,random_conditioned,8,float64,R0_C0,2000,3.2456524894399985,32.16843931049921
1,random_conditioned:f13d30e42b69e288,random_conditioned,8,float64,R0_C1,2000,0.9859352188153229,1.5951159952718255
1,random_conditioned:f13d30e42b69e288,random_conditioned,8,float64,R0_C2,2000,0.9899328743675446,1.6569078630174383
1,random_conditioned:f13d30e42b69e288,random_conditioned,8,float64,R1_C1,2000,0.9711532298761594,1.5770532059152682
1,random_conditioned:f13d30e42b69e288,random_conditioned,8,float64,R2_C2,2000,0.9781278297002582,1.6340818902343406
1,random_conditioned:f13d30e42b69e288,random_conditioned,8,float64,LAPACK_xGETRF_xGETRI,2000,1.1297372713228473,1.8706037167791918
2,random_conditioned:5e2483f030292e83,random_conditioned,8,float32,R0_C0,2000,2.9659397752667718,44.41826923555641
2,random_conditioned:5e2483f030292e83,random_conditioned,8,float32,R0_C1,2000,0.7322709511134076,1.2295388319802547
