dtype_name,method,blocks,common_n_total,common_n_min,common_n_median,common_n_max,median_block_q50_rR2_over_u,median_block_q95_rR2_over_u
float32,R0_C0,832,1629883,67,2000.0,2000,2.6185576119268195,5.921339584076115
float32,R0_C1,832,1629883,67,2000.0,2000,1.079430589393119,1.5989148744151185
float32,R0_C2,832,1629883,67,2000.0,2000,1.079430589393119,1.5736342889956179
float32,R1_C1,832,1629883,67,2000.0,2000,1.3419022043890674,1.825482200871511
float32,R2_C2,832,1629883,67,2000.0,2000,1.2833251057628314,1.8020386165902353
float32,LAPACK_xGETRF_xGETRI,832,1629883,67,2000.0,2000,1.331456831583107,2.36641486557306
float64,R0_C0,832,1663993,1995,2000.0,2000,4.868488625648276,14.494002383577222
float64,R0_C1,832,1663993,1995,2000.0,2000,1.4280144356244777,2.096687859391989
float64,R0_C2,832,1663993,1995,2000.0,2000,1.4490881602973142,2.1427015260629227
float64,R1_C1,832,1663993,1995,2000.0,2000,1.640220196392834,2.227353571419655
float64,R2_C2,832,1663993,1995,2000.0,2000,1.6519359840932286,2.1798910302435415
float64,LAPACK_xGETRF_xGETRI,832,1663993,1995,2000.0,2000,2.114234873304497,3.602089903932172
