dtype_name,method,paired_n,method_lt_lapack,method_eq_lapack,method_gt_lapack,fraction_method_lt_lapack,fraction_method_le_lapack,pooled_median_log10_method_over_lapack_positive_pairs,fraction_blocks_q50_method_lt_lapack,fraction_blocks_q95_method_lt_lapack
float32,R0_C0,1629883,389432,1774,1238677,0.23893248779206852,0.24002090947632437,0.5491792316115963,0.23557692307692307,0.234375
float32,R0_C1,1629883,933896,10047,685940,0.5729834595489369,0.5791477056942124,-0.036689119215821395,0.6021634615384616,0.6021634615384616
float32,R0_C2,1629883,894026,10047,725810,0.5485215809969182,0.5546858271421936,-0.016079614267887996,0.5492788461538461,0.5144230769230769
float32,R1_C1,1629883,941618,23895,664370,0.577721222934407,0.5923817844593753,-0.04996984217233396,0.6742788461538461,0.6694711538461539
float32,R2_C2,1629883,918643,16770,694470,0.5636251191036412,0.5739142012033993,-0.039891707483032765,0.5853365384615384,0.5793269230769231
float64,R0_C0,1663993,448215,232,1215546,0.2693611090912041,0.26950053275464503,0.40538795282412077,0.21153846153846154,0.21033653846153846
float64,R0_C1,1663993,1020020,4626,639347,0.612995367168011,0.615775426939897,-0.055010572293485584,0.6009615384615384,0.5913461538461539
float64,R0_C2,1663993,974756,4626,684611,0.5857933296594396,0.5885733894313258,-0.039673142971960375,0.5360576923076923,0.5060096153846154
float64,R1_C1,1663993,1033392,4372,626229,0.621031458665992,0.623658873564973,-0.09417563873054155,0.6682692307692307,0.6634615384615384
float64,R2_C2,1663993,1000852,3844,659297,0.6014760879402737,0.6037861938121134,-0.07467908080991914,0.59375,0.5757211538461539
