sample,method,dtype_name,blocks,common_n_min,common_n_q50,common_n_max,median_block_q50_rR2_over_u,median_block_q95_rR2_over_u,median_block_q50_rRinf_over_u,median_block_q95_rRinf_over_u
S5,R0_C0,float32,832,67,2000.0,2000,2.6185576119268195,5.921339584076115,1.6152167567190012,3.2719718956511437
S5,R0_C1,float32,832,67,2000.0,2000,1.079430589393119,1.5996142237279891,0.6379671050057658,0.9156890538493093
S5,R0_C2,float32,832,67,2000.0,2000,1.079430589393119,1.5752444677259774,0.6392508148916609,0.9787355028451304
S5,R1_C1,float32,832,67,2000.0,2000,1.3419022043890674,1.8241215754637135,0.5756550647868452,0.8049568944833088
S5,R2_C2,float32,832,67,2000.0,2000,1.2833251057628314,1.8020386165902353,0.5511006726420571,0.7966987018608682
S5,R0_C0,float64,832,1999,2000.0,2000,4.868488625648276,14.494002383577222,2.6807803807513224,7.562910253716181
S5,R0_C1,float64,832,1999,2000.0,2000,1.4280144356244777,2.096687859391989,0.7671204455829894,1.1185647322664791
S5,R0_C2,float64,832,1999,2000.0,2000,1.4490881602973142,2.1427015260629227,0.792753603315538,1.1707026623601415
S5,R1_C1,float64,832,1999,2000.0,2000,1.640220196392834,2.227353571419655,0.6824276144943252,0.9447618656901535
S5,R2_C2,float64,832,1999,2000.0,2000,1.6519359840932286,2.1798910302435415,0.6536192832470495,0.958587716514164
S6,R0_C0,float32,832,67,2000.0,2000,2.6185576119268195,5.921339584076115,1.6152167567190012,3.2719718956511437
S6,R0_C1,float32,832,67,2000.0,2000,1.079430589393119,1.5989148744151185,0.6383870991605394,0.9156890538493093
S6,R0_C2,float32,832,67,2000.0,2000,1.079430589393119,1.5736342889956179,0.6395816113103094,0.9787355028451304
S6,R1_C1,float32,832,67,2000.0,2000,1.3419022043890674,1.825482200871511,0.5756550647868452,0.8055320377401917
S6,R2_C2,float32,832,67,2000.0,2000,1.2833251057628314,1.8020386165902353,0.5511006726420571,0.7924848997355297
S6,LAPACK_xGETRF_xGETRI,float32,832,67,2000.0,2000,1.331456831583107,2.36641486557306,0.9429951696894805,1.6067164753125909
S6,R0_C0,float64,832,1999,2000.0,2000,4.868488625648276,14.494002383577222,2.6807803807513224,7.562910253716181
S6,R0_C1,float64,832,1999,2000.0,2000,1.4280144356244777,2.096687859391989,0.7671204455829894,1.1185647322664791
S6,R0_C2,float64,832,1999,2000.0,2000,1.4490881602973142,2.1427015260629227,0.792753603315538,1.1707026623601415
S6,R1_C1,float64,832,1999,2000.0,2000,1.640220196392834,2.227353571419655,0.6824276144943252,0.9447618656901535
S6,R2_C2,float64,832,1999,2000.0,2000,1.6519359840932286,2.1798910302435415,0.6536192832470495,0.958587716514164
S6,LAPACK_xGETRF_xGETRI,float64,832,1999,2000.0,2000,2.114234873304497,3.602089903932172,1.1496029862506334,1.9138052435729038
