dtype_name,method,blocks,paired_n_total,median_block_median_log10_method_over_lapack,median_block_fraction_method_lt_lapack,pooled_fraction_method_lt_lapack,fraction_blocks_q50_method_lt_lapack,fraction_blocks_q95_method_lt_lapack
float32,R0_C0,832,1629883,0.5369703715155747,0.009,0.23893248779206852,0.23557692307692307,0.234375
float32,R0_C1,832,1629883,-0.04492719813212902,0.7152499999999999,0.5729834595489369,0.6021634615384616,0.6021634615384616
float32,R0_C2,832,1629883,-0.024336336308705863,0.5753119946091645,0.5485215809969182,0.5492788461538461,0.5144230769230769
float32,R1_C1,832,1629883,-0.03198267095585155,0.65025,0.577721222934407,0.6742788461538461,0.6694711538461539
float32,R2_C2,832,1629883,-0.022296650046057565,0.616,0.5636251191036412,0.5853365384615384,0.5793269230769231
float64,R0_C0,832,1663999,0.5196695034626584,0.06675,0.26936013783662127,0.21153846153846154,0.21033653846153846
float64,R0_C1,832,1663731,-0.03324033917407236,0.64625,0.6129308163399011,0.5985576923076923,0.5913461538461539
float64,R0_C2,832,1663731,-0.007966528466386676,0.55225,0.5857244951257145,0.5336538461538461,0.5060096153846154
float64,R1_C1,832,1663668,-0.07741694296111389,0.657,0.620955623357545,0.6658653846153846,0.6646634615384616
float64,R2_C2,832,1663660,-0.06030177234020363,0.6387499999999999,0.6013963189594027,0.5913461538461539,0.5757211538461539
