n,expected_matrices,recovered_matrices,completion_fraction,all_blocks_complete,minimum_block_recovered,maximum_block_recovered
8,1280065,1280065,1.0,True,1,20000
11,1280065,1280065,1.0,True,1,20000
16,1280065,1280065,1.0,True,1,20000
23,1280065,1280065,1.0,True,1,20000
32,1280065,1280065,1.0,True,1,20000
45,1280065,1280065,1.0,True,1,20000
64,1280065,1280065,1.0,True,1,20000
91,1280065,1280065,1.0,True,1,20000
128,1280065,1280065,1.0,True,1,20000
181,1280065,1280065,1.0,True,1,20000
256,1280065,875914,0.6842730642584556,False,0,20000
362,1280065,591997,0.46247417123349205,False,0,9260
512,1280065,400697,0.3130286352646155,False,0,9260
724,1280065,17505,0.013675086811997828,False,0,2642
1024,1280065,0,0.0,False,0,0
