method,dtype_name,cells,median_s,q25_s,q75_s,quadratic_preferred,convex_when_quadratic_preferred,concave_when_quadratic_preferred,median_quadratic_curvature_when_preferred,median_bootstrap_ci_width,positive_ci,negative_ci,ci_contains_zero
R0_C0,float32,64,0.49451855558841273,0.05450943118382927,0.9527844329192809,54,29,25,0.008445961606725071,0.03539555962515695,50,13,1
R0_C0,float64,64,0.5487410904940823,0.03901208865960911,1.4314562245664033,45,20,25,-0.012438603232185144,0.06707236394051985,50,14,0
R0_C1,float32,64,0.25575014713944233,0.12028352941072673,0.4455067181323132,54,41,13,0.015173433474594235,0.013737286681599629,54,10,0
R0_C1,float64,64,0.2904322401933068,0.11004145650282585,0.45155819660111485,54,42,12,0.02153950348457561,0.011986791925134372,53,10,1
R0_C2,float32,64,0.28284496105519563,0.10748846225763296,0.477864163470621,47,34,13,0.020184742249208413,0.013100865453169103,52,11,1
R0_C2,float64,64,0.3450774684534423,0.08494948463891774,0.4858935872176979,53,40,13,0.01871710795492136,0.012553185402733265,53,10,1
R1_C1,float32,64,0.22485645819471495,0.08528103959570242,0.5855220512404928,60,37,23,0.019042987083853505,0.012714395226617228,52,12,0
R1_C1,float64,64,0.23427114461349563,0.08753269380596598,0.5909849087245308,60,42,18,0.020414602204296417,0.01083334102818314,52,12,0
R2_C2,float32,64,0.2798017410081837,0.08638993370241242,0.5842566270594418,58,38,20,0.027268032760798946,0.012858744109092324,51,13,0
R2_C2,float64,64,0.29728123889301383,0.08883549317533168,0.5841504924333383,59,43,16,0.03421468863333793,0.01203178434830482,52,12,0
